City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,tazovsky,67.4667,78.7,-26.71,98,96,2.59,RU,1708156956
219,astrakhan,46.3497,48.0408,-4.07,58,100,11.0,RU,1708156957
220,sherwood park,53.5168,-113.3187,-1.27,56,11,3.09,CA,1708156710
221,benguela,-12.5763,13.4055,28.42,74,100,0.4,AO,1708156833
222,victoria falls,-17.9235,25.843,32.06,33,0,5.66,ZW,1708156733
223,santa marinella,42.0345,11.8536,15.86,56,79,0.86,IT,1708156959
224,enewetak,11.3474,162.3373,26.45,83,12,10.39,MH,1708156503
225,baran,25.1,76.5167,28.31,17,0,2.47,IN,1708156961
226,isangel,-19.55,169.2667,26.3,85,80,7.79,VU,1708156961
227,ulaangom,49.9811,92.0667,-19.63,72,100,1.13,MN,1708156610
228,kayangel,8.0823,134.7173,27.39,83,11,7.59,PW,1708156488
229,minas de marcona,-15.2119,-75.1103,18.21,89,100,5.37,PE,1708156963
230,malanje,-9.5402,16.341,20.79,92,100,2.04,AO,1708156963
231,aldinga beach,-35.2793,138.4604,31.26,42,91,6.6,AU,1708156964
232,zhuanghe,39.7008,122.9911,4.45,80,100,5.19,CN,1708156965
233,anadarko,35.0726,-98.2437,0.0,69,6,7.05,US,1708156966
234,anqing,30.5092,117.0506,18.74,65,73,4.02,CN,1708156966
235,nemuro,43.3236,145.575,-4.09,78,100,1.91,JP,1708156967
236,guerrero negro,27.9769,-114.0611,15.1,80,6,6.06,MX,1708156691
237,south hedland,-20.4089,118.5983,35.96,52,0,10.29,AU,1708156473
238,saint-joseph,-21.3667,55.6167,29.21,82,89,6.1,RE,1708156969
239,kirgiz-miyaki,53.6324,54.7979,-12.02,74,100,4.14,RU,1708156969
240,mount pearl,47.5166,-52.7813,-3.36,94,100,5.14,CA,1708156767
241,barah,13.7,30.3667,23.22,16,53,7.86,SD,1708156970
242,tchintabaraden,15.8969,5.7985,20.95,17,3,6.5,NE,1708156971
243,praia da vitoria,38.7333,-27.0667,17.14,94,20,3.2,PT,1708156971
244,gadzhiyevo,69.2551,33.3362,-4.79,92,100,2.66,RU,1708156586
245,brookings,44.3114,-96.7984,-13.79,72,0,5.66,US,1708156387
246,suva,-18.1416,178.4415,27.71,74,75,2.57,FJ,1708156973
247,timmins,48.4669,-81.3331,-22.1,77,75,3.09,CA,1708156936
248,santa marta,11.2408,-74.199,28.27,74,72,7.15,CO,1708156974
249,mata-utu,-13.2816,-176.1745,28.89,82,93,7.76,WF,1708156975
250,douentza,14.9951,-2.9517,25.33,11,0,1.47,ML,1708156975
251,seymour,38.9592,-85.8903,-4.6,96,14,2.59,US,1708156908
252,labrador city,52.9463,-66.9114,-28.79,73,0,2.06,CA,1708156809
253,peace river,56.2501,-117.286,-6.3,76,0,2.06,CA,1708156933
254,alice springs,-23.7,133.8833,37.75,24,70,9.26,AU,1708156681
255,azogues,-2.7333,-78.8333,12.9,99,100,1.38,EC,1708156978
256,cozumel,20.5083,-86.9458,22.19,93,0,3.36,MX,1708156770
257,fortuna,40.5982,-124.1573,15.19,62,100,10.29,US,1708156596
258,diego de almagro,-26.3667,-70.05,17.63,68,55,0.46,CL,1708156889
259,kirovo-chepetsk,58.5539,50.0399,-15.06,89,96,3.61,RU,1708156980
260,mocimboa,-11.3167,40.35,31.26,66,70,4.63,MZ,1708156981
261,ketchikan,55.3422,-131.6461,3.36,70,90,2.01,US,1708156981
262,vallenar,-28.5708,-70.7581,20.05,76,47,1.07,CL,1708156982
263,diawara,15.022,-12.5437,25.68,15,55,4.29,SN,1708156982
264,tocache,-8.1842,-76.5125,21.24,97,60,0.24,PE,1708156983
265,ouargaye,11.5033,0.0572,25.51,11,6,5.94,BF,1708156984
266,marijampole,54.5667,23.35,3.94,96,100,4.87,LT,1708156985
267,kaliganj,23.4095,89.1402,29.2,22,0,3.16,BD,1708156985
268,moree,-29.4667,149.85,31.46,33,1,1.05,AU,1708156986
269,tamiahua,21.2667,-97.45,21.37,93,100,2.68,MX,1708156987
270,new norfolk,-42.7826,147.0587,21.72,48,4,1.08,AU,1708156987
271,urucui,-7.2294,-44.5561,23.63,95,100,0.85,BR,1708156988
272,nar'yan-mar,67.6713,53.087,-21.61,88,58,4.02,RU,1708156602
273,severo-yeniseyskiy,60.3725,93.0408,-23.92,86,100,0.42,RU,1708156989
274,newport,51.5877,-2.9984,12.06,96,100,2.7,GB,1708156747
275,saint augustine beach,29.8505,-81.2654,15.59,88,100,1.54,US,1708156991
276,zhezqazghan,47.7833,67.7667,-23.68,77,0,6.0,KZ,1708156608
277,kapuskasing,49.4169,-82.4331,-25.95,76,0,2.06,CA,1708156539
278,colonia,50.9333,6.95,10.54,85,75,2.57,DE,1708156663
279,olonkinbyen,70.9221,-8.7187,-8.28,58,6,1.33,SJ,1708156993
280,nesebar,42.7833,27.7333,4.49,71,99,3.03,BG,1708156994
281,hermanus,-34.4187,19.2345,21.0,54,72,1.83,ZA,1708156995
282,mana,5.6592,-53.7767,25.35,85,73,4.7,GF,1708156995
283,faya-largeau,17.9257,19.1043,15.94,20,0,8.23,TD,1708156996
284,susangerd,31.5608,48.1831,19.95,42,24,5.53,IR,1708156997
285,iwanai,42.9744,140.5089,-0.49,81,100,1.98,JP,1708156997
286,tamanrasset,22.785,5.5228,12.95,15,0,1.03,DZ,1708156998
287,la passe,45.5549,-0.8967,6.13,78,5,0.56,FR,1708156998
288,zheleznodorozhnyy,55.7503,38.0042,-3.69,96,100,4.02,RU,1708156999
289,mwene-ditu,-7.0,23.45,24.78,82,94,0.37,CD,1708157000
290,namibe,-15.1961,12.1522,25.53,81,100,2.53,AO,1708157002
291,lucea,18.451,-78.1736,23.92,83,2,1.95,JM,1708157002
